date,player,team,lineup_spot,hr,hr_score
2026-07-07,William Contreras,MIL,4,0.0,47.1
2026-07-07,Sal Frelick,MIL,7,0.0,24.5
2026-07-07,JJ Wetherholt,STL,1,0.0,35.3
2026-07-07,Iván Herrera,STL,2,1.0,38.4
2026-07-07,Alec Burleson,STL,3,0.0,33.5
2026-07-07,Christian Yelich,MIL,1,0.0,47.8
2026-07-07,Luis Lara,MIL,2,0.0,36.1
2026-07-07,Brice Turang,MIL,3,0.0,27.0
2026-07-07,Andrew Vaughn,MIL,4,0.0,36.9
2026-07-07,Garrett Mitchell,MIL,5,0.0,52.4
2026-07-07,Gary Sánchez,MIL,6,0.0,39.4
2026-07-07,Jackson Chourio,MIL,7,0.0,55.4
2026-07-07,Cooper Pratt,MIL,8,0.0,35.9
2026-07-07,Joey Ortiz,MIL,9,1.0,40.5
2026-07-07,Pedro Pagés,STL,1,0.0,31.5
2026-07-07,Jimmy Crooks,STL,2,0.0,29.3
2026-07-07,Jordan Walker,STL,3,1.0,57.2
2026-07-07,Nelson Velázquez,STL,4,1.0,48.6
2026-07-07,Bryan Torres,STL,5,0.0,48.5
2026-07-07,Masyn Winn,STL,6,0.0,34.5
2026-07-07,José Fermín,STL,7,0.0,33.4
2026-07-07,Blaze Jordan,STL,8,0.0,27.6
2026-07-07,Nathan Church,STL,9,0.0,43.5
2026-07-07,Pete Crow-Armstrong,CHC,1,0.0,55.3
2026-07-07,Alex Bregman,CHC,2,0.0,54.8
2026-07-07,Michael Busch,CHC,3,0.0,54.1
2026-07-07,Seiya Suzuki,CHC,4,0.0,61.9
2026-07-07,Ian Happ,CHC,5,0.0,45.5
2026-07-07,Nico Hoerner,CHC,6,0.0,33.1
2026-07-07,Michael Conforto,CHC,7,0.0,60.5
2026-07-07,Dansby Swanson,CHC,8,0.0,62.2
2026-07-07,Miguel Amaya,CHC,9,0.0,36.7
2026-07-07,Taylor Ward,BAL,1,0.0,56.3
2026-07-07,Adley Rutschman,BAL,2,0.0,58.5
2026-07-07,Gunnar Henderson,BAL,3,0.0,69.6
2026-07-07,Pete Alonso,BAL,4,0.0,74.1
2026-07-07,Jeremiah Jackson,BAL,5,0.0,45.8
